AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
Smn gene (survival motor neuron protein SMN) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes,U80017_rna3_at
Mitochondrial intermediate peptidase precursor (MIPEP) mRNA, mitochondrial gene encoding mitochondrial protein,U80034_at
ACO2 Aconitase 2, mitochondrial,U80040_at
GB DEF = Tip associating protein (TAP) mRNA,U80073_at
FLII gene,U80184_rna1_at
Transcription factor SIM2 long form mRNA,U80456_at
Transcription factor SIM2 long form mRNA,U80457_at
Thymidine kinase 2 (TK2) mRNA,U80628_at
Androgen regulated homeobox protein (NKX3.1) mRNA,U80669_at
Lysophosphatidic acid receptor homolog mRNA,U80811_at
SNRPN mRNA, 3 UTR, partial sequence,U81001_at
P76 mRNA,U81006_at
EPLG5 Eph-related receptor tyrosine kinase ligand 5,U81262_at
Placental equilibrative nucleoside transporter 1 (hENT1) mRNA,U81375_at
Endometrial bleeding associated factor mRNA,U81523_at
CaM kinase II isoform mRNA,U81554_at
Hypothetical protein A4 mRNA,U81556_at
Homeodomain protein HOXB13 mRNA,U81599_at
Paired-like homeodomain protein PRX-2 mRNA, partial cds,U81600_at
GRAVIN,U81607_at
Wnt10B mRNA,U81787_at
Phosphatidylinositol 4-kinase,U81802_at
GB DEF = Endothelial PAS domain protein 1 (EPAS1) mRNA,U81984_at
Heme A: farnesyltransferase (COX10) gene promoter region and,U82010_rna1_at
Tumor susceptiblity protein (TSG101) mRNA,U82130_at
Frizzled homolog (FZD3) mRNA,U82169_at
ARG2 Arginase, type II (non-hepatic),U82256_at
Immunoglobulin-like transcript 1 mRNA,U82275_at
GB DEF = Unknown protein mRNA, partial cds,U82303_at
GB DEF = Unknown protein mRNA, partial cds,U82306_at
GB DEF = Unknown protein mRNA, partial cds,U82310_at
GB DEF = Unknown protein mRNA, partial cds,U82311_at
GB DEF = Unknown protein mRNA, partial cds,U82313_at
Clone YDD19 mRNA sequence,U82319_at
GB DEF = Unknown protein mRNA, partial cds,U82320_at
GB DEF = Clone 14.9B mRNA sequence,U82321_at
Tubby related protein 1 (TULP1) mRNA,U82468_at
GB DEF = GDI-dissociation inhibitor RhoGDIgammma mRNA,U82532_at
Fatty acid amide hydrolase mRNA,U82535_at
DNA-binding protein ABP/ZF mRNA,U82613_at
SHOX gene (SHOXb) extracted from Human shox gene, alternatively spliced products,U82668_rna1_at
HSP1-A gene extracted from Homo sapiens cosmids Qc14E2, Qc12H12, Qc11F9, Qc10G9, LA1733 and Qc17B8 from Xq28, complete sequence,U82671_cds2_at
GB DEF = Homeodomain protein HoxA9 mRNA,U82759_at
Uncoupling protein 3 mRNA,U82818_at
Phosphate regulating neutral endopeptidase (PEX) mRNA,U82970_at
Bcl-2 binding component 3 (bbc3) mRNA, partial cds,U82987_at
Non-lens beta gamma-crystallin like protein (AIM1) mRNA, partial cds,U83115_at
Post-synaptic density protein 95 (PSD95) mRNA,U83192_at
Copine I mRNA,U83246_at
GCP-2 gene (granulocyte chemotactic protein-2) extracted from Human line-1 reverse transcriptase gene, partial cds, and granulocyte chemotactic protein-2 (GCP-2) gene,U83303_cds2_at
CUL-2 (cul-2) mRNA,U83410_at
Carboxypeptidase Z precursor, mRNA,U83411_at
Putative copper uptake protein (hCTR2) mRNA,U83461_at
Scaffold protein Pbp1 mRNA,U83463_at
GB DEF = Death domain receptor 3 (DDR3) mRNA, alternatively spliced form 2, partial cds,U83600_at
GB DEF = Calpastatin gene, exons 14 and 15, partial cds,U83601_at
GB DEF = HIV-1 Nef interacting protein (Nip7-1) mRNA, partial cds,U83843_at
Nuclear antigen H731 mRNA,U83908_at
CX3C chemokine precursor, mRNA, alternatively spliced,U84487_at
GB DEF = Dystrobrevin isoform DTN-3 (DTN) gene, exon 11B and complete cds,U84540_at
Dystrobrevin (DTN) gene,U84551_cds2_at
YF5 mRNA,U84569_at
Lysyl hydroxylase isoform 2 (PLOD2) mRNA,U84573_at
mRNA export protein Rae1 (RAE1) mRNA,U84720_at
Nuclear factor I-B2 (NFIB2) mRNA,U85193_at
Phosphatidylinositol-4-phosphate 5-kinase type II beta mRNA,U85245_at
GB DEF = Down syndrome candiate region 1 (DSCR1) gene, alternative exon 1,U85265_at
GB DEF = Down syndrome candidate region 1 (DSCR1) gene, alternative exon 1,U85267_at
Transcription factor NFATx4 mRNA,U85430_at
Snk interacting protein 2-28 mRNA,U85611_at
Transcription factor ERF-1 mRNA,U85658_at
Leukemogenic homolog protein (MEIS1) mRNA,U85707_at
Myeloid progenitor inhibitory factor-1 MPIF-1 mRNA,U85767_at
mRNA-associated protein mrnp41 mRNA,U85943_at
GB DEF = Brain secretory protein hSec10p (HSEC10) mRNA,U85946_at
Clone IMAGE:35527 unknown protein mRNA, partial cds,U85992_at
PMM1 Phosphomannomutase,U86070_at
Telomerase-associated protein TP-1 mRNA,U86136_at
Fas-associated death domain protein interleukin-1b-converting enzyme 2 mRNA,U86214_at
GB DEF = Chemokine (TECK) mRNA,U86358_at
GB DEF = Hyaluronan synthase 3 (HAS3) gene, partial cds,U86409_at
Glutathione transferase Zeta 1 (GSTZ1) mRNA,U86529_at
Nucleolar protein p40 mRNA,U86602_at
GB DEF = 26S proteasome-associated pad1 homolog (POH1) mRNA,U86782_at
Contactin associated protein (Caspr) mRNA,U87223_at
P120E4F transcription factor mRNA,U87269_at
HVps41p (HVPS41) mRNA,U87309_at
Clone IMAGE:30008 unknown protein mRNA, partial cds,U87408_at
Autoimmunogenic cancer/testis antigen NY-ESO-1 mRNA,U87459_at
Putative endothelin receptor type B-like protein mRNA,U87460_at
Putative G-protein (GP-1) mRNA,U87964_at
GB DEF = NAD+-isocitrate dehydrogenase mRNA, partial cds,U87972_at
DNA binding protein homolog (DRIL) mRNA, partial cds,U88047_at
GB DEF = RNA polymerase II elongation factor ELL2,U88629_at
Serine kinase SRPK2 mRNA,U88666_at
ATP binding cassette transporter (ABCR) mRNA,U88667_at
GB DEF = Symplekin mRNA, partial cds,U88726_at
Peroxisome targeting signal 2 receptor (Pex7) mRNA,U88871_at
GB DEF = Tenascin-C mRNA, splice variant TNCfn-ad2, partial cds,U88892_at
HEM45 mRNA,U88964_at
Dentin matrix acidic phosphoprotein 1 (DMP1) mRNA,U89012_at
Polyhomeotic 2 homolog (HPH2) mRNA,U89278_at
Bone morphogenetic protein receptor type I ALK-6 mRNA,U89326_at
NOTCH4 gene (notch4) extracted from Human HLA class III region containing notch4 (NOTCH4) gene, complete sequence,U89335_cds2_at
Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence,U89336_cds1_at
RAGE gene (receptor for advanced glycosylation end products) extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence,U89336_cds3_at
Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence,U89336_cds4_at
Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence,U89336_cds6_at
Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence,U89336_cds7_at
Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence,U89336_cds8_at
Clone cRT16 CREB-binding protein mRNA, partial cds,U89355_at
Hlark mRNA,U89505_at
Pyridoxal kinase mRNA,U89606_at
RDH1 Retinol dehydrogenase 1 (11-cis),U89717_at
Casein kinase I gamma 2 mRNA,U89896_at
Putative OSP like protein mRNA, partial cds,U89916_at
Lysyl oxidase-related protein (WS9-14) mRNA,U89942_at
DNA binding protein FKHL15 (FKHL15) mRNA,U89995_at
Krit1 mRNA,U90268_at
Iroquois-class homeodomain protein IRX-2a mRNA,U90304_at
GB DEF = Iroquois-class homeodomain protein IRX-4 mRNA, partial cds,U90306_at
Glutathione-S-transferase homolog mRNA,U90313_at
PEG3 mRNA, partial cds,U90336_at
Nuclear RNA helicase,U90426_at
GB DEF = RP1 homolog mRNA, 3UTR region,U90437_at
Sodium phosphate transporter (NPT3) mRNA,U90544_at
Ro/SSA ribonucleoprotein homolog (RoRet) mRNA,U90547_at
Non-histone chromosomal protein (NHC) mRNA,U90549_at
Butyrophilin (BTF2) mRNA,U90550_at
Histone 2A-like protein (H2A/l) mRNA,U90551_at
Embryonic ectoderm development protein homolog (eed) mRNA, partial cds,U90651_at
Cell surface protein HCAR mRNA,U90716_at
LIM domain protein CLP-36 mRNA,U90878_at
Clone 23612 mRNA sequence,U90902_at
Clone 23773 mRNA sequence,U90904_at
Clone 23574 mRNA sequence,U90905_at
Clone 23907 mRNA sequence,U90907_at
Clones 23549 and 23762 mRNA,U90908_at
Clone 23722 mRNA sequence,U90909_at
Clone 23564 mRNA sequence,U90910_at
Clone 23652 mRNA sequence,U90911_at
Clone 23865 mRNA sequence,U90912_at
Clone 23665 mRNA sequence,U90913_at
Clone 23587 mRNA sequence,U90914_at
COX4 Cytochrome c oxidase subunit IV,U90915_at
Clone 23815 mRNA sequence,U90916_at
Clone 23654 mRNA sequence,U90918_at
Clones 23667 and 23775 zinc finger protein mRNA,U90919_at
Acyl-CoA thioester hydrolase mRNA,U91316_at
GB DEF = Chromosome 12p15 BAC clone CIT987SK-99D8 complete sequence,U91327_at
Peroxin 12 (HsPEX12) mRNA,U91521_at
I kappa B epsilon (IkBe) mRNA,U91616_at
Proneurotensin/proneuromedin N mRNA,U91618_at
Frezzled (fre) mRNA,U91903_at
AP-3 complex delta subunit mRNA,U91930_at
AP-3 complex beta3A subunit mRNA,U91931_at
Clathrin coat assembly protein-like,U91932_at
DNA fragmentation factor-45 mRNA,U91985_at
Clone 121711 defective mariner transposon Hsmar2 mRNA sequence,U92014_at
GB DEF = Clone 143789 defective mariner transposon Hsmar2 mRNA sequence,U92015_at
Mutated in multiple advanced cancers protein (MMAC1) mRNA,U92436_at
Metabotropic glutamate receptor 7 mRNA,U92458_at
Metabotropic glutamate receptor 8 mRNA,U92459_at
Protease-activated receptor 3 (PAR3) mRNA,U92971_at
GB DEF = SLP-76 associated protein mRNA,U93049_at
GB DEF = Toll protein homolog mRNA and LINE-1 reverse transcriptase homolog, pseudogene,U93091_at
Nuclear chloride ion channel protein (NCC27) mRNA,U93205_at
MEN1 gene (menin) extracted from Human menin (MEN1) gene,U93237_rna2_at
Alpha1-fetoprotein transcription factor (hFTF) mRNA,U93553_at
RNA polymerase III subunit (RPC62) mRNA,U93867_at
Autoantigen DFS70 mRNA, partial cds,U94319_at
GB DEF = Neuropeptide Y5 receptor (NPYY5) mRNA,U94320_at
Osteoprotegerin (OPG) mRNA,U94332_at
Clq/MBL/SPA receptor C1qR(p) mRNA,U94333_at
Requiem homolog (hsReq) mRNA,U94585_at
NADH:ubiquinone oxidoreductase MLRQ subunit mRNA,U94586_at
Uncoupling protein homolog (UCPH) mRNA,U94592_at
WD repeat protein HAN11 mRNA,U94747_at
Multispanning membrane protein mRNA,U94831_at
Translation initiation factor 3 47 kDa subunit mRNA,U94855_at
D9 splice variant A mRNA,U95006_at
Voltage-dependent calcium channel beta-4 subunit mRNA,U95020_at
Unknown protein mRNA, partial cds,U95040_at
Chromosome 19 cosmid F19541,U95090_at
Ccr2 gene (ccr2a) extracted from Homo sapiens ccr2b (ccr2), ccr2a (ccr2), ccr5 (ccr5) and ccr6 (ccr6) genes, and lactoferrin (lactoferrin) gene, partial cds, complete sequence,U95626_rna1_at
362G6.1 gene (unknown protein CIT987SK_362G6_1) extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence,U95740_rna1_at
362G6.2 gene extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence,U95740_rna2_at
Sarcolipin (SLN) mRNA,U96094_at
GB DEF = Nedd-4-like ubiquitin-protein ligase WWP1 mRNA, partial cds,U96113_at
Nedd-4-like ubiquitin-protein ligase WWP2 mRNA,U96114_at
GB DEF = WW domain-containing protein WWP3 mRNA, partial cds,U96115_at
GB DEF = Trophoblast hypoxia-regulated factor-5 (HRF-5) mRNA, 3 end,U96191_at
2A8.2 gene (unknown protein CIT987SK_2A8_1) extracted from Human chromosome 8 BAC clone CIT987SK-2A8 complete sequence,U96629_rna1_at
2A8.3 gene (hereditary multiple exostoses gene isolog) extracted from Human chromosome 8 BAC clone CIT987SK-2A8 complete sequence,U96629_rna2_at
Chondroadherin gene, 5flanking region and,U96769_rna1_at
ATP2A1 gene (Ca2+ ATPase of fast-twitch skeletal muscle sacroplasmic reticulum, neonatal isoform) extracted from Human Ca2+ ATPase of fast-twitch skeletal muscle sarcoplasmic reticulum adult and neonatal isoforms (ATP2A1) gene,U96781_cds1_at
Sin3 associated polypeptide p18 (SAP18) mRNA,U96915_at
Inositol polyphosphate 4-phosphatase type II-alpha mRNA,U96922_at
Echinoderm microtubule-associated protein homolog HuEMAP mRNA,U97018_at
Dihydropyrimidinase related protein-2,U97105_at
Putative RNA binding protein KOC (koc) mRNA,U97188_at
Butyrophilin (BT3.3) gene,U97502_rna1_at
COL1A2 Collagen, type I, alpha-2,V00503_at
GB DEF = Immunoglobulin mu, part of exon 8,V00563_at
Gene encoding prepro form of corticotropin releasing factor,V00571_rna1_at
PGK1 Phosphoglycerate kinase 1,V00572_at
POMC gene (proopiomelanocortin) extracted from H.sapiens gene coding for ACTH and beta-LPH precursors. Gene codes for the common precursor of the pituitary hormones corticotropin (ACTH) and beta-lipotropin (beta-LPH),V01510_rna1_at
Cellular oncogene c-fos (complete sequence),V01512_rna1_at
AFP Alpha-fetoprotein,V01514_at
Unnamed protein product gene extracted from Human gene encoding preproglucagon. Glucagon is a 29-amino acid pancreatic hormone which counteracts the blood glucose-lowering action of insulin by stimulating hepatic glycogenolysis and gluconeogenesis. Also included in the proglucagon sequence are two regions (GLP-1 and GLP-2) which are homologous to glucagon itself but not identical,V01515_cds1_at
PLASMA RETINOL-BINDING PROTEIN PRECURSOR,X00129_at
GB DEF = F variable segment 5 to antithrombin III gene (AT III),X00237_at
HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN PRECURSOR,X00274_at
Exon 1 from  Human prolactin gene 5 region./ntype=DNA /annot=mRNA,X00368_xpt2_at
Myoglobin gene (exon 1) (and joined CDS),X00371_rna1_at
EGFR Epidermal growth factor receptor,X00588_at
TUBB Beta-tubulin,X00734_at
IL2RA Interleukin 2 receptor, alpha,X01057_at
GNRH Gonadotropin-releasing hormone (leutinizing-releasing hormone),X01059_at
TFRC Transferrin receptor (p90, CD71),X01060_at
APOC3 Apolipoprotein C-III,X01388_at
ASS Argininosuccinate synthetase,X01630_at
GB DEF = Gene fragment for the acetylcholine receptor gamma subunit precursor (exons 1 and 2),X01715_at
LDHA Lactate dehydrogenase A,X02152_at
Erythropoietin,X02158_rna1_at
SOD1 Superoxide dismutase 1 (Cu/Zn),X02317_at
CALCB Calcitonin-related polypeptide, beta,X02404_at
INP10 Interferon (gamma)-induced cell line; protein 10 from,X02530_at
ORM1 Orosomucoid 1,X02544_at
GB DEF = Bcr (breakpoint cluster region) gene in Philadelphia chromosome,X02596_at
CYP1A1 Cytochrome P450, subfamily I (aromatic compound-inducible), polypeptide 1,X02612_at
PROC Protein C (inactivator of coagulation factors Va and VIIIa),X02750_at
NRAS Neuroblastoma RAS viral (v-ras) oncogene homolog,X02751_at
OIAS (2-5) oligoadenylate synthetase,X02874_at
TNF Tumor necrosis factor,X02910_at
HLA-DOB MHC class II protein HLA-DO beta chain,X03066_at
GB DEF = Int-1 mammary oncogene,X03072_at
HLA-SB alpha gene (class II antigen) extracted from Human HLA-SB(DP) alpha gene,X03100_cds2_at
VTN Vitronectin (serum spreading factor, somatomedin B, complement S-protein),X03168_at
RPL32 Ribosomal protein L32,X03342_at
HISTONE H1,X03473_at
RAF1 V-raf-1 murine leukemia viral oncogene homolog 1,X03484_at
ESR Estrogen receptor,X03635_at
G-CSF protein gene extracted from Human gene for granulocyte colony-stimulating factor (G-CSF),X03656_rna1_at
CSF1R Colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog,X03663_at
GB DEF = T-cell antigen receptor gene T3-delta,X03934_at
CYBB Chronic granulomatous disease,X04011_at
Catalase (EC 1.11.1.6) 5flank and exon 1 mapping to chromosome 11, band p13 (and joined CDS),X04085_rna1_at
CAPN4 Calpain, small polypeptide,X04106_at
BGLAP Bone gamma-carboxyglutamate (gla) protein (osteocalcin),X04143_at
CD3G CD3G antigen, gamma polypeptide (TiT3 complex),X04145_at
Skeletal muscle 1.3 kb mRNA for tropomyosin,X04201_at
RPS13 RNA polymerase II polypeptide B (140 kD),X04297_at
GJB1 Gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked),X04325_at
BPGM 2,3-bisphosphoglycerate mutase,X04327_at
CALPAIN 1, LARGE,X04366_at
CD5 CD5 antigen (p56-62),X04391_at
GSN Gelsolin (amyloidosis, Finnish type),X04412_at
IGF1R Insulin-like growth factor 1 receptor,X04434_at
IL1B Interleukin 1, beta,X04500_at
EGF Epidermal growth factor,X04571_at
IL5 Interleukin 5 (T cell replacing factor),X04688_at
GB DEF = C-erb-A mRNA for thyroid hormone receptor,X04707_at
UBIQUITIN CARBOXYL-TERMINAL HYDROLASE ISOZYME L1,X04741_at
GNAI2 Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2,X04828_at
Apolipoprotein AII,X04898_rna1_at
Alpha-lactalbumin precursor gene extracted from Human alpha-lactalbumin gene,X05153_rna1_at
Aldolase C gene,X05196_at
MMP3 Stromelysin,X05232_at
GB DEF = Testis-specific PGK-2 gene for phosphoglycerate kinase (ATP:3-phospho-D-glycerate 1-phosphotransferase, EC 2.7.2.3),X05246_at
TPM4 Tropomyosin 4 (fibroblast),X05276_at
CENPB Centromere protein B (80kD),X05299_at
OX-2 MEMBRANE GLYCOPROTEIN PRECURSOR,X05323_at
CDC2 Cell division cycle 2, G1 to S and G2 to M,X05360_at
ALDH2 Aldehyde dehydrogenase 2, mitochondrial,X05409_at
NEUROFILAMENT TRIPLET L PROTEIN,X05608_at
GB DEF = Thyroglobulin,X05615_at
ANX1 Annexin I (lipocortin I),X05908_at
GB DEF = Gastric lipase,X05997_at
ITGA5 Integrin, alpha 5 (fibronectin receptor, alpha polypeptide),X06256_at
SRPR Signal recognition particle receptor (docking protein),X06272_at
APOLIPOPROTEIN(A) PRECURSOR,X06290_at
MITOCHONDRIAL 60S RIBOSOMAL PROTEIN L3,X06323_at
SYP Synaptophysin,X06389_at
GB DEF = Theta 1-globin gene,X06482_at
GHR Growth hormone receptor,X06562_at
Receptor of retinoic acid,X06614_at
RPS11 Ribosomal protein S11,X06617_at
CALB1 Calbindin (27-kD),X06661_at
DNA polymerase alpha-subunit,X06745_at
FCER1A High affinity IgE receptor alpha-subunit (FcERI),X06948_at
HMOX1 Heme oxygenase (decycling) 1,X06985_at
TRANSCRIPTION INITIATION FACTOR TFIID 250 KD SUBUNIT,X07024_at
(clones lambda-hPKC-beta[15,802]) protein kinase C-beta-1 (PRKCB1) mRNA,X07109_at
INTER-ALPHA-TRYPSIN INHIBITOR COMPLEX COMPONENT II PRECURSOR,X07173_at
ZINC FINGER PROTEIN HF.12,X07290_at
NUCLEAR TRANSPORT FACTOR 2,X07315_at
GLI Glioma-associated oncogene homolog (zinc finger protein),X07384_at
HOMEOBOX PROTEIN HOX-C4,X07495_at
KRT4 Keratin 4,X07695_at
KRT15 Keratin 15,X07696_at
HPN Hepsin,X07732_at
PLECKSTRIN,X07743_at
PRKACA Protein kinase, cAMP-dependent, catalytic, alpha,X07767_at
MMP10 Matrix metalloproteinase 10 (stromelysin 2),X07820_at
SOD2 Superoxide dismutase 2, mitochondrial,X07834_at
WNT2 Wingless-type MMTV integration site 2, human homolog,X07876_at
TNP1 Transition protein 1 (TP1),X07948_at
ITGB1 Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12),X07979_at
LCT Lactase,X07994_at
PROTEIN PHPS1-2,X12433_at
ALDOA Aldolase A,X12447_at
CTSL Cathepsin L,X12451_at
S-ARRESTIN,X12453_at
P3 protein (AA 1-1382) gene extracted from Human P3 gene,X12458_rna1_at
CCAAT BOX-BINDING TRANSCRIPTION FACTOR 1,X12492_at
