AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. AL049764:Human DNA sequence from clone 362J20 on chromosome 22q13.1-13.31 Contains the 3  end of the gene for Peroxisomal Integral Membrane Protein (PMP34), ESTs and GSSs /cds=(0,589) /gb=AL049764 /gi=4826548 /ug=Hs.62245 /len=1794,36549_at
Cluster Incl. AL049538:Human DNA sequence from clone 1175I6 on chromosome 20. Contains the gene for Ras inhibitor JC265 (Ras association (RalGDS/AF-6) domain containing protein), ESTs, STSs, GSSs and two putative CpG islands /cds=(0,1415) /gb=AL049538 /gi=5420243 /ug=Hs.62349 /len=2937,36550_at
Cluster Incl. AL049382:Homo sapiens mRNA; cDNA DKFZp586K1318 (from clone DKFZp586K1318) /cds=UNKNOWN /gb=AL049382 /gi=4500170 /ug=Hs.62601 /len=1599,36551_at
Cluster Incl. AL080220:Homo sapiens mRNA; cDNA DKFZp586P0123 (from clone DKFZp586P0123) /cds=(0,1067) /gb=AL080220 /gi=5262711 /ug=Hs.6285 /len=1732,36552_at
Cluster Incl. AA669799:ag36c04.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1118886 /clone_end=3  /gb=AA669799 /gi=2631298 /ug=Hs.6315 /len=679,36553_at
Cluster Incl. Y15521:Homo sapiens ASMTL gene /cds=(0,1889) /gb=Y15521 /gi=3808147 /ug=Hs.6315 /len=1890,36554_at
Cluster Incl. AF044311:Homo sapiens gamma-synuclein gene, complete cds /cds=(52,435) /gb=AF044311 /gi=3347841 /ug=Hs.63236 /len=708,36555_at
Cluster Incl. AB014572:Homo sapiens mRNA for KIAA0672 protein, complete cds /cds=(300,2756) /gb=AB014572 /gi=3327157 /ug=Hs.6336 /len=4227,36556_at
Cluster Incl. M92303:Human voltage-dependent calcium channel beta-1 subunit mRNA, complete cds /cds=(149,1939) /gb=M92303 /gi=291880 /ug=Hs.635 /len=3658,36557_at
Cluster Incl. M92302:Human voltage-dependent calcium channel beta-1 subunit mRNA, complete cds /cds=(149,1585) /gb=M92302 /gi=179803 /ug=Hs.635 /len=1694,36558_at
Cluster Incl. M92302:Human voltage-dependent calcium channel beta-1 subunit mRNA, complete cds /cds=(149,1585) /gb=M92302 /gi=179803 /ug=Hs.635 /len=1694,36559_g_at
Cluster Incl. AB007950:Homo sapiens mRNA for KIAA0481 protein, complete cds /cds=(444,1895) /gb=AB007950 /gi=3413923 /ug=Hs.6360 /len=5351,36560_at
Cluster Incl. X73424:Homo sapiens gene for propionyl-CoA carboxylase a subunit /cds=(70,1689) /gb=X73424 /gi=3929749 /ug=Hs.63788 /len=1829,36561_at
Cluster Incl. AB007887:Homo sapiens KIAA0427 mRNA, complete cds /cds=(285,2081) /gb=AB007887 /gi=2887428 /ug=Hs.64096 /len=5737,36562_at
Cluster Incl. AF038190:Homo sapiens clone 23582 mRNA sequence /cds=UNKNOWN /gb=AF038190 /gi=2795910 /ug=Hs.6421 /len=1887,36563_at
Cluster Incl. W27419:31a10 Homo sapiens cDNA /gb=W27419 /gi=1307241 /ug=Hs.64239 /len=803,36564_at
Cluster Incl. X98253:H.sapiens ZNF183 gene /cds=(210,1241) /gb=X98253 /gi=2274981 /ug=Hs.64794 /len=1349,36565_at
Cluster Incl. AJ222967:Homo sapiens mRNA for cystinosin /cds=(339,1442) /gb=AJ222967 /gi=3036839 /ug=Hs.64837 /len=2611,36566_at
Cluster Incl. W26700:11h4 Homo sapiens cDNA /gb=W26700 /gi=1305802 /ug=Hs.6535 /len=870,36567_at
Cluster Incl. W26981:17a8 Homo sapiens cDNA /gb=W26981 /gi=1306209 /ug=Hs.6535 /len=643,36568_at
Cluster Incl. X64559:H.sapiens mRNA for tetranectin /cds=(93,701) /gb=X64559 /gi=37408 /ug=Hs.65424 /len=848,36569_at
Cluster Incl. AF068862:Homo sapiens BAC clone 157K21 from 8q21, complete sequence /cds=(182,967) /gb=AF068862 /gi=3687826 /ug=Hs.65425 /len=2531,36570_at
Cluster Incl. U24389:Human lysyl oxidase-like protein gene /cds=(446,2170) /gb=U24389 /gi=881348 /ug=Hs.65436 /len=2553,36811_at
Cluster Incl. U92715:Homo sapiens breast cancer antiestrogen resistance 3 protein (BCAR3) mRNA, complete cds /cds=(60,2537) /gb=U92715 /gi=3237305 /ug=Hs.6564 /len=2985,36812_at
Cluster Incl. U96131:Homo sapiens HPV16 E1 protein binding protein mRNA, complete cds /cds=(45,1343) /gb=U96131 /gi=2232018 /ug=Hs.6566 /len=2203,36813_at
Cluster Incl. AB029032:Homo sapiens mRNA for KIAA1109 protein, partial cds /cds=(0,5873) /gb=AB029032 /gi=5689554 /ug=Hs.6606 /len=6377,36814_at
Cluster Incl. AF038185:Homo sapiens clone 23700 mRNA sequence /cds=UNKNOWN /gb=AF038185 /gi=2795905 /ug=Hs.66187 /len=1540,36815_at
Cluster Incl. M28668:Human cystic fibrosis mRNA, encoding a presumed transmembrane conductance regulator (CFTR) /cds=(132,4574) /gb=M28668 /gi=180331 /ug=Hs.663 /len=6129,36816_s_at
Cluster Incl. M55131:Human cystic fibrosis transmembrane conductance regulator (CFTR) gene /cds=(0,4442) /gb=M55131 /gi=306537 /ug=Hs.663 /len=6159,36817_at
Cluster Incl. AF052100:Homo sapiens clone 23645 mRNA sequence /cds=UNKNOWN /gb=AF052100 /gi=3360407 /ug=Hs.6651 /len=1531,36818_at
Cluster Incl. U64820:Homo sapiens josephin MJD1 mRNA, complete cds /cds=(57,1142) /gb=U64820 /gi=2262194 /ug=Hs.66521 /len=1877,36819_at
Cluster Incl. S75313:MJD1=MJD1 protein {CAG repeats} [human, brain, mRNA, 1776 nt] /cds=(35,1117) /gb=S75313 /gi=833927 /ug=Hs.66521 /len=1776,36820_r_at
Cluster Incl. AL050367:Homo sapiens mRNA; cDNA DKFZp564A026 (from clone DKFZp564A026) /cds=UNKNOWN /gb=AL050367 /gi=4914600 /ug=Hs.66762 /len=3938,36821_at
Cluster Incl. U51334:Human putative RNA binding protein (RBP56) mRNA, complete cds /cds=(86,1864) /gb=U51334 /gi=1613774 /ug=Hs.66772 /len=2153,36822_at
Cluster Incl. AF055026:Homo sapiens clone 24444 RaP2 interacting protein 8 (RPIP8) mRNA, complete cds /cds=(38,1255) /gb=AF055026 /gi=3005754 /ug=Hs.6755 /len=1607,36823_at
Cluster Incl. AB006627:Homo sapiens mRNA for KIAA0289 gene, partial cds /cds=(0,3910) /gb=AB006627 /gi=2564325 /ug=Hs.6788 /len=7127,36824_at
Cluster Incl. X82200:H.sapiens Staf50 mRNA /cds=(122,1450) /gb=X82200 /gi=899299 /ug=Hs.68054 /len=2801,36825_at
Cluster Incl. X64037:H.sapiens mRNA for RNA polymerase II associated protein RAP74 /cds=(178,1731) /gb=X64037 /gi=35868 /ug=Hs.68257 /len=2440,36826_at
Cluster Incl. AF020762:Homo sapiens clone 1400 unknown protein mRNA, partial cds /cds=(0,805) /gb=AF020762 /gi=2738926 /ug=Hs.6831 /len=1319,36827_at
Cluster Incl. AB002324:Human mRNA for KIAA0326 gene, partial cds /cds=(0,2783) /gb=AB002324 /gi=2224592 /ug=Hs.6833 /len=6045,36828_at
Cluster Incl. AF022991:Homo sapiens Rigui (RIGUI) mRNA, complete cds /cds=(187,4059) /gb=AF022991 /gi=2435506 /ug=Hs.68398 /len=4656,36829_at
Cluster Incl. U80034:Human mitochondrial intermediate peptidase precursor (MIPEP) mRNA, mitochondrial gene encoding mitochondrial protein, complete cds /cds=(74,2215) /gb=U80034 /gi=1763641 /ug=Hs.68583 /len=2374,36830_at
Cluster Incl. AB007941:Homo sapiens mRNA for KIAA0472 protein, partial cds /cds=(0,1099) /gb=AB007941 /gi=3413905 /ug=Hs.6874 /len=5494,36831_at
Cluster Incl. AB015630:Homo sapiens mRNA for type II membrane protein, complete cds, clone-HP10328 /cds=(117,1235) /gb=AB015630 /gi=4586837 /ug=Hs.69009 /len=2186,36832_at
Cluster Incl. U78027:Homo sapiens Brutons tyrosine kinase (BTK), alpha-D-galactosidase A (GLA), L44-like ribosomal protein (L44L) and FTP3 (FTP3) genes, complete cds /cds=(60,1349) /gb=U78027 /gi=2281904 /ug=Hs.69089 /len=1350,36833_at
Cluster Incl. AL080058:Homo sapiens mRNA; cDNA DKFZp564G202 (from clone DKFZp564G202) /cds=(0,1007) /gb=AL080058 /gi=5262461 /ug=Hs.6909 /len=2103,36834_at
Cluster Incl. U33052:Human lipid-activated, protein kinase PRK2 mRNA, complete cds /cds=(9,2963) /gb=U33052 /gi=1000124 /ug=Hs.69171 /len=3255,36835_at
Cluster Incl. AF016050:Homo sapiens vascular endothelial cell growth factor 165 receptor/neuropilin (VEGF165) mRNA, complete cds /cds=(0,2771) /gb=AF016050 /gi=2978559 /ug=Hs.69285 /len=2772,36836_at
Cluster Incl. U63743:Homo sapiens mitotic centromere-associated kinesin mRNA, complete cds /cds=(54,2231) /gb=U63743 /gi=1695881 /ug=Hs.69360 /len=2740,36837_at
Cluster Incl. AF055481:Homo sapiens normal epithelial cell-specific 1 (NES1) gene, complete cds /cds=(82,912) /gb=AF055481 /gi=3065710 /ug=Hs.69423 /len=1442,36838_at
Cluster Incl. U77949:Human Cdc6-related protein (HsCDC6) mRNA, complete cds /cds=(210,1892) /gb=U77949 /gi=1684902 /ug=Hs.69563 /len=2653,36839_at
Cluster Incl. AF052158:Homo sapiens clone 24616 mRNA sequence /cds=UNKNOWN /gb=AF052158 /gi=3360469 /ug=Hs.6957 /len=1240,36840_at
Cluster Incl. AA811338:ob81g05.s1 Homo sapiens cDNA /clone=IMAGE-1337816 /gb=AA811338 /gi=2880949 /ug=Hs.69575 /len=657,36841_at
Cluster Incl. AB002376:Human mRNA for KIAA0378 gene, partial cds /cds=(0,2426) /gb=AB002376 /gi=2224696 /ug=Hs.7006 /len=5434,36842_at
Cluster Incl. AB005666:Homo sapiens mRNA for GTPase-activating protein, complete cds /cds=(296,3424) /gb=AB005666 /gi=2389008 /ug=Hs.7019 /len=3885,36843_at
Cluster Incl. AB002297:Human mRNA for KIAA0299 gene, partial cds /cds=(0,5723) /gb=AB002297 /gi=2224538 /ug=Hs.7022 /len=8063,36844_at
Cluster Incl. D50926:Human mRNA for KIAA0136 gene, partial cds /cds=(0,2854) /gb=D50926 /gi=1469194 /ug=Hs.70359 /len=4197,36845_at
Cluster Incl. AA121509:zk88c10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-489906 /clone_end=3  /gb=AA121509 /gi=1679123 /ug=Hs.70830 /len=593,36846_s_at
Cluster Incl. AA121509:zk88c10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-489906 /clone_end=3  /gb=AA121509 /gi=1679123 /ug=Hs.70830 /len=593,36847_r_at
Cluster Incl. AC005258:Homo sapiens chromosome 19, cosmid R30783 /cds=(0,437) /gb=AC005258 /gi=3289992 /ug=Hs.70830 /len=438,36848_r_at
Cluster Incl. U90920:Human PTPL1-associated RhoGAP mRNA, complete cds /cds=(183,3968) /gb=U90920 /gi=2522321 /ug=Hs.70983 /len=5220,36849_at
Cluster Incl. U42360:Human N33 gene /cds=(148,1191) /gb=U42360 /gi=1353699 /ug=Hs.71119 /len=1456,36850_at
Cluster Incl. U42360:Human N33 gene /cds=(148,1191) /gb=U42360 /gi=1353699 /ug=Hs.71119 /len=1456,36851_g_at
Cluster Incl. U42349:Human N33 mRNA, complete cds /cds=(157,1203) /gb=U42349 /gi=1353672 /ug=Hs.71119 /len=1342,36852_at
Cluster Incl. M64752:Human glutamate receptor subunit (GluH1) mRNA, complete cds /cds=(75,2798) /gb=M64752 /gi=183280 /ug=Hs.7117 /len=3178,36853_at
Cluster Incl. M81886:Human glutamate receptor type 1 (HBGR1) mRNA, complete cds /cds=(143,2863) /gb=M81886 /gi=179441 /ug=Hs.7117 /len=2946,36854_s_at
Cluster Incl. M81886:Human glutamate receptor type 1 (HBGR1) mRNA, complete cds /cds=(143,2863) /gb=M81886 /gi=179441 /ug=Hs.7117 /len=2946,36855_r_at
Cluster Incl. W28743:51a9 Homo sapiens cDNA /gb=W28743 /gi=1308691 /ug=Hs.7159 /len=698,36856_at
Cluster Incl. AF084513:Homo sapiens DNA repair exonuclease (REC1) mRNA, alternatively spliced product, complete cds /cds=(422,943) /gb=AF084513 /gi=3600078 /ug=Hs.7179 /len=1154,36857_at
Cluster Incl. D25218:Human mRNA for KIAA0112 gene, partial cds /cds=(0,1201) /gb=D25218 /gi=434778 /ug=Hs.71827 /len=1696,36858_at
Cluster Incl. AF067724:Homo sapiens nm23-H5 mRNA, complete cds /cds=(48,686) /gb=AF067724 /gi=3220238 /ug=Hs.72050 /len=1191,36859_at
Cluster Incl. AB028987:Homo sapiens mRNA for KIAA1064 protein, partial cds /cds=(0,3099) /gb=AB028987 /gi=5689464 /ug=Hs.72134 /len=5265,36860_at
Cluster Incl. AL049946:Homo sapiens mRNA; cDNA DKFZp564I1922 (from clone DKFZp564I1922) /cds=(0,1756) /gb=AL049946 /gi=4884193 /ug=Hs.72157 /len=2336,36861_at
Cluster Incl. AB029038:Homo sapiens mRNA for KIAA1115 protein, complete cds /cds=(768,3032) /gb=AB029038 /gi=5689566 /ug=Hs.72172 /len=3781,36862_at
Cluster Incl. AF032862:Homo sapiens intracellular hyaluronic acid binding protein (IHABP) mRNA, complete cds /cds=(36,2210) /gb=AF032862 /gi=3449363 /ug=Hs.72550 /len=2986,36863_at
Cluster Incl. AJ001625:Homo sapiens mRNA for Pex3 protein /cds=(63,1184) /gb=AJ001625 /gi=3336881 /ug=Hs.7277 /len=1963,36864_at
Cluster Incl. AB018302:Homo sapiens mRNA for KIAA0759 protein, partial cds /cds=(0,2022) /gb=AB018302 /gi=3882238 /ug=Hs.7285 /len=4006,36865_at
Cluster Incl. D78334:Human mRNA for ankyrin motif, complete cds /cds=(238,693) /gb=D78334 /gi=1655417 /ug=Hs.73073 /len=1067,36866_at
Cluster Incl. W03846:za60a02.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-296906 /clone_end=5  /gb=W03846 /gi=1275690 /ug=Hs.7309 /len=500,36867_at
Cluster Incl. AF054995:Homo sapiens clone 23741 mRNA sequence /cds=UNKNOWN /gb=AF054995 /gi=3005710 /ug=Hs.7309 /len=2482,36868_at
Cluster Incl. X69699:H.sapiens Pax8 mRNA /cds=UNKNOWN /gb=X69699 /gi=38425 /ug=Hs.73149 /len=2678,36869_at
Cluster Incl. AB018347:Homo sapiens mRNA for KIAA0804 protein, partial cds /cds=(0,3636) /gb=AB018347 /gi=3882328 /ug=Hs.7316 /len=4216,36870_at
Cluster Incl. M60298:Human erythrocyte membrane protein band 4.2 (EPB42) mRNA, complete cds /cds=(459,2624) /gb=M60298 /gi=951197 /ug=Hs.733 /len=2652,36871_at
Cluster Incl. AL120559:DKFZp761B219_r1 Homo sapiens cDNA, 5  end /clone=DKFZp761B219 /clone_end=5  /gb=AL120559 /gi=5926458 /ug=Hs.7351 /len=588,36872_at
Cluster Incl. D16532:Human gene for very low density lipoprotein receptor, 5flanking and /cds=(615,3236) /gb=D16532 /gi=407220 /ug=Hs.73729 /len=3853,36873_at
Cluster Incl. M26004:Human CR2/CD21/C3d/Epstein-Barr virus receptor mRNA, complete cds /cds=(69,3170) /gb=M26004 /gi=181939 /ug=Hs.73792 /len=3934,36874_at
Cluster Incl. AL050018:Homo sapiens mRNA; cDNA DKFZp564B116 (from clone DKFZp564B116) /cds=(0,1151) /gb=AL050018 /gi=4884085 /ug=Hs.7387 /len=2335,36875_at
Cluster Incl. M55150:Human fumarylacetoacetate hydrolase mRNA, complete cds /cds=(56,1315) /gb=M55150 /gi=182392 /ug=Hs.73875 /len=1447,36876_at
Cluster Incl. M24364:Human MHC class II lymphocyte antigen DQB mRNA, complete cds, haplotype DR7, DQw9 /cds=(44,718) /gb=M24364 /gi=529041 /ug=Hs.73931 /len=1483,36877_at
Cluster Incl. M60028:Human MHC class II HLA-DQ-beta (DQB1,DQw9), complete cds /cds=(57,842) /gb=M60028 /gi=188114 /ug=Hs.73931 /len=1192,36878_f_at
Cluster Incl. M63193:Human platelet-derived endothelial cell growth factor mRNA, complete cds /cds=(123,1571) /gb=M63193 /gi=189700 /ug=Hs.73946 /len=1587,36879_at
Cluster Incl. U07736:Human quinone oxidoreductase2 (NQO2) gene /cds=(273,968) /gb=U07736 /gi=2182137 /ug=Hs.73956 /len=1074,36880_at
Cluster Incl. X71129:H.sapiens mRNA for electron transfer flavoprotein beta subunit /cds=(27,794) /gb=X71129 /gi=297901 /ug=Hs.74047 /len=835,36881_at
Cluster Incl. X59372:Human HOX4C mRNA for a homeobox protein /cds=(36,1064) /gb=X59372 /gi=32390 /ug=Hs.74061 /len=1133,36882_at
Cluster Incl. X14640:Human mRNA for keratin 13 /cds=(42,1418) /gb=X14640 /gi=34032 /ug=Hs.74070 /len=1691,36883_at
Cluster Incl. Z22970:H.sapiens mRNA for M130 antigen cytoplasmic variant 2 /cds=(101,3571) /gb=Z22970 /gi=312145 /ug=Hs.74076 /len=4950,36884_at
Cluster Incl. L28824:Homo sapiens protein tyrosine kinase (Syk) mRNA, complete cds /cds=(147,2054) /gb=L28824 /gi=479012 /ug=Hs.74101 /len=2639,36885_at
Cluster Incl. L41268:Homo sapiens natural killer-associated transcript 2 (NKAT2) mRNA, complete cds /cds=(37,1062) /gb=L41268 /gi=780305 /ug=Hs.74134 /len=1596,36886_f_at
Cluster Incl. U31416:Homo sapiens killer cell Ig-like receptor (KIR3DL1) mRNA, complete cds /cds=(25,1359) /gb=U31416 /gi=973405 /ug=Hs.74134 /len=1865,36887_f_at
Cluster Incl. AB020648:Homo sapiens mRNA for KIAA0841 protein, partial cds /cds=(0,1925) /gb=AB020648 /gi=4240170 /ug=Hs.7426 /len=4283,36888_at
Cluster Incl. M33195:Human Fc-epsilon-receptor gamma-chain mRNA, complete cds /cds=(25,285) /gb=M33195 /gi=182487 /ug=Hs.743 /len=591,36889_at
Cluster Incl. AF001691:Homo sapiens 195 kDa cornified envelope precursor mRNA, complete cds /cds=(90,5360) /gb=AF001691 /gi=3168845 /ug=Hs.74304 /len=6227,36890_at
Cluster Incl. AL022237:bK1191B2.3.1 (PUTATIVE novel Acyl Transferase similar to C. elegans C50D2.7) (isoform 1) /cds=(16,1188) /gb=AL022237 /gi=3845439 /ug=Hs.7436 /len=1352,36891_at
Cluster Incl. AF032108:Homo sapiens integrin alpha-7 mRNA, complete cds /cds=(161,3574) /gb=AF032108 /gi=2897115 /ug=Hs.74369 /len=4061,36892_at
Cluster Incl. M23668:Homo sapiens adrenodoxin gene /cds=(162,716) /gb=M23668 /gi=557733 /ug=Hs.744 /len=1904,36893_at
Cluster Incl. AL031846:dJ742C19.5 (novel Chromobox protein) /cds=(89,844) /gb=AL031846 /gi=4164368 /ug=Hs.7442 /len=3964,36894_at
Cluster Incl. AL080116:Homo sapiens mRNA; cDNA DKFZp564A0723 (from clone DKFZp564A0723) /cds=(41,2179) /gb=AL080116 /gi=5262544 /ug=Hs.74420 /len=2504,36895_at
Cluster Incl. AF044288:Homo sapiens basic-helix-loop-helix-PAS orphan MOP3 (MOP3) mRNA, complete cds /cds=(369,2249) /gb=AF044288 /gi=3170266 /ug=Hs.74515 /len=2757,36896_s_at
Cluster Incl. D25217:Human mRNA for KIAA0027 gene, partial cds /cds=(0,1317) /gb=D25217 /gi=434776 /ug=Hs.74518 /len=3435,36897_at
Cluster Incl. X74331:H.sapiens mRNA for DNA primase (subunit p58) /cds=(87,1616) /gb=X74331 /gi=510407 /ug=Hs.74519 /len=2306,36898_r_at
Cluster Incl. M97287:Human MAR/SAR DNA binding protein (SATB1) mRNA, complete cds /cds=(214,2505) /gb=M97287 /gi=337810 /ug=Hs.74592 /len=2928,36899_at
Cluster Incl. U52426:Homo sapiens GOK (STIM1) mRNA, complete cds /cds=(565,2622) /gb=U52426 /gi=2264345 /ug=Hs.74597 /len=4040,36900_at
Cluster Incl. L01042:Human HIV1 tata element modulatory factor mRNA sequence from chromosome 3 /cds=UNKNOWN /gb=L01042 /gi=184097 /ug=Hs.74985 /len=3282,36901_at
Cluster Incl. X61587:H.sapiens rhoG mRNA for GTPase /cds=(129,704) /gb=X61587 /gi=36035 /ug=Hs.75082 /len=1284,36902_at
Cluster Incl. D87458:Human mRNA for KIAA0282 gene, partial cds /cds=(0,1652) /gb=D87458 /gi=1665802 /ug=Hs.75090 /len=3815,36903_at
Cluster Incl. X90840:H.sapiens mRNA for axonal transporter of synaptic vesicles /cds=(63,5135) /gb=X90840 /gi=1212916 /ug=Hs.75096 /len=6972,36904_at
Cluster Incl. AB009356:Homo sapiens mRNA for TGF-beta activated kinase 1a, complete cds /cds=(162,1901) /gb=AB009356 /gi=2924623 /ug=Hs.7510 /len=2769,36905_at
Cluster Incl. U73304:Human CB1 cannabinoid receptor (CNR1) gene, complete cds /cds=(63,1481) /gb=U73304 /gi=1657840 /ug=Hs.75110 /len=5472,36906_at
Cluster Incl. M88468:Homo sapiens mevalonate kinase mRNA, complete cds /cds=(91,1281) /gb=M88468 /gi=307197 /ug=Hs.75138 /len=1967,36907_at
Cluster Incl. M93221:Human macrophage mannose receptor (MRC1) gene /cds=(103,4473) /gb=M93221 /gi=187333 /ug=Hs.75182 /len=5171,36908_at
Cluster Incl. X62048:H.sapiens Wee1 hu gene /cds=(170,2110) /gb=X62048 /gi=499071 /ug=Hs.75188 /len=3254,36909_at
Cluster Incl. L36870:Homo sapiens MAP kinase kinase 4 (MKK4) mRNA, complete cds /cds=(9,1208) /gb=L36870 /gi=685175 /ug=Hs.75217 /len=3576,36910_at
Cluster Incl. X51420:Human mRNA for tyrosinase-related protein /cds=(129,1712) /gb=X51420 /gi=37512 /ug=Hs.75219 /len=2817,36911_at
Cluster Incl. U20980:Human chromatin assembly factor-I p60 subunit mRNA, complete cds /cds=(62,1741) /gb=U20980 /gi=882259 /ug=Hs.75238 /len=2197,36912_at
Cluster Incl. U75679:Human histone stem-loop binding protein (SLBP) mRNA, complete cds /cds=(115,927) /gb=U75679 /gi=1732076 /ug=Hs.75257 /len=1725,36913_at
Cluster Incl. X77383:H.sapiens mRNA for cathepsin-O /cds=(49,1014) /gb=X77383 /gi=574803 /ug=Hs.75262 /len=1647,36914_at
Cluster Incl. AI810485:wb89b12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2312831 /clone_end=3  /gb=AI810485 /gi=5397051 /ug=Hs.75262 /len=547,36915_at
Cluster Incl. X74570:H.sapiens mRNA for Gal-beta(1-3/1-4)GlcNAc alpha-2.3-sialyltransferase /cds=(162,1151) /gb=X74570 /gi=414890 /ug=Hs.75268 /len=1741,36916_at
Cluster Incl. Z26653:H.sapiens mRNA for laminin M chain (merosin) /cds=(49,9381) /gb=Z26653 /gi=438055 /ug=Hs.75279 /len=9534,36917_at
Cluster Incl. Y15723:Homo sapiens mRNA for soluble guanylyl cyclase /cds=(523,2595) /gb=Y15723 /gi=3702146 /ug=Hs.75295 /len=2982,36918_at
Cluster Incl. M60626:Human N-formylpeptide receptor (fMLP-R98) mRNA, complete cds /cds=(45,1097) /gb=M60626 /gi=182662 /ug=Hs.753 /len=1866,36919_r_at
Cluster Incl. U46024:Homo sapiens myotubularin (MTM1) mRNA, complete cds /cds=(54,1865) /gb=U46024 /gi=1378039 /ug=Hs.75302 /len=3411,36920_at
Cluster Incl. U02556:Human RP3 mRNA, complete cds /cds=(68,418) /gb=U02556 /gi=413824 /ug=Hs.75307 /len=2156,36921_at
Cluster Incl. X59618:H.sapiens RR2 mRNA for small subunit ribonucleotide reductase /cds=(194,1363) /gb=X59618 /gi=36154 /ug=Hs.75319 /len=2475,36922_at
Cluster Incl. M98045:Homo sapiens folylpolyglutamate synthetase mRNA, complete cds /cds=(70,1707) /gb=M98045 /gi=292028 /ug=Hs.754 /len=2158,36923_at
Cluster Incl. M25756:Human secretogranin II gene, complete cds /cds=(62,1915) /gb=M25756 /gi=338050 /ug=Hs.75426 /len=2336,36924_r_at
Cluster Incl. L26336:Human heat shock protein HSPA2 gene, complete cds /cds=(0,1919) /gb=L26336 /gi=476704 /ug=Hs.75452 /len=1920,36925_at
Cluster Incl. X80692:H.sapiens ERK3 mRNA /cds=(478,2643) /gb=X80692 /gi=763112 /ug=Hs.75465 /len=3908,36926_at
Cluster Incl. AB000115:Homo sapiens mRNA expressed in osteoblast, complete cds /cds=(241,1482) /gb=AB000115 /gi=2564034 /ug=Hs.75470 /len=2058,36927_at
Cluster Incl. X70394:H.sapiens OZF mRNA /cds=(856,1734) /gb=X70394 /gi=468707 /ug=Hs.75471 /len=3186,36928_at
Cluster Incl. U17760:Human laminin S B3 chain (LAMB3) gene /cds=(399,3917) /gb=U17760 /gi=2182192 /ug=Hs.75517 /len=4213,36929_at
Cluster Incl. L05425:Homo sapiens autoantigen mRNA, complete cds /cds=(79,2274) /gb=L05425 /gi=179284 /ug=Hs.75528 /len=2313,36930_at
Cluster Incl. X67155:H.sapiens mRNA for mitotic kinesin-like protein-1 /cds=(76,2958) /gb=X67155 /gi=34671 /ug=Hs.75530 /len=3258,37171_at
Cluster Incl. M75106:Human prepro-plasma carboxypeptidase B mRNA, complete cds /cds=(19,1290) /gb=M75106 /gi=189686 /ug=Hs.75572 /len=1709,37172_at
Cluster Incl. Z15005:H.sapiens CENP-E mRNA /cds=(90,8081) /gb=Z15005 /gi=29864 /ug=Hs.75573 /len=8257,37173_at
Cluster Incl. D14660:Human mRNA for KIAA0104 gene, complete cds /cds=(34,876) /gb=D14660 /gi=285944 /ug=Hs.75574 /len=1322,37174_at
Cluster Incl. L00190:Human antithrombin III (ATIII) gene /cds=(46,1440) /gb=L00190 /gi=179129 /ug=Hs.75599 /len=1524,37175_at
Cluster Incl. U96078:Homo sapiens hyaluronoglucosaminidase 1 (HYAL1) mRNA, complete cds /cds=(610,1917) /gb=U96078 /gi=2314819 /ug=Hs.75619 /len=2507,37176_at
